Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Wednesday,08-17-2022,18:00:00,7,30,60,4,12,35,52,49
Wednesday,08-17-2022,19:00:00,2,47,63,4,12,42,38,49
Wednesday,08-17-2022,20:00:00,10,48,66,4,12,47,34,47
Wednesday,08-17-2022,21:00:00,98,62,65,4,14,52,21,48
Wednesday,08-17-2022,22:00:00,23,69,54,4,15,37,15,49
Wednesday,08-17-2022,23:00:00,,,52,4,15,40,16,49
Thursday,08-18-2022,00:00:00,28,75,50,3,14,38,13,49
Thursday,08-18-2022,01:00:00,20,57,51,4,13,35,11,50
Thursday,08-18-2022,02:00:00,28,35,52,4,16,38,,50
Thursday,08-18-2022,03:00:00,,,,,,,,50
Thursday,08-18-2022,04:00:00,30,50,52,4,47,30,13,51
Thursday,08-18-2022,05:00:00,,,53,4,18,22,18,51
Thursday,08-18-2022,06:00:00,,,45,4,17,18,16,52
Thursday,08-18-2022,07:00:00,22,66,43,4,17,20,13,52
Thursday,08-18-2022,08:00:00,13,39,41,3,16,23,20,52
Thursday,08-18-2022,09:00:00,8,24,44,3,12,20,22,52
Thursday,08-18-2022,10:00:00,10,27,54,3,8,35,40,52
Thursday,08-18-2022,11:00:00,,,63,4,8,42,54,53
Thursday,08-18-2022,12:00:00,,47,65,4,6,35,78,53
Thursday,08-18-2022,13:00:00,,52,70,4,9,35,84,54
