Day,Date,Time,PM2.5,PM10,NO2,NH3,SO2,CO,OZONE,AQI
Tuesday,09-08-2022,11:00:00,22,78,22,,6,76,8,101
Tuesday,09-08-2022,12:00:00,27,111,21,,8,74,9,103
Tuesday,09-08-2022,13:00:00,35,112,25,,4,120,9,103
Tuesday,09-08-2022,14:00:00,28,101,24,,2,118,8,102
Tuesday,09-08-2022,15:00:00,17,92,21,,2,119,6,101
Tuesday,09-08-2022,16:00:00,15,83,24,,3,119,8,100
Tuesday,09-08-2022,17:00:00,32,86,30,,2,62,8,97
Tuesday,09-08-2022,18:00:00,26,86,32,,2,77,3,95
Tuesday,09-08-2022,19:00:00,32,90,33,,2,92,5,95
Tuesday,09-08-2022,20:00:00,35,89,33,,2,100,6,98
Tuesday,09-08-2022,21:00:00,26,85,33,,3,99,11,101
Tuesday,09-08-2022,22:00:00,26,82,31,,3,87,8,97
Tuesday,09-08-2022,23:00:00,25,71,26,,4,83,7,93
Wednesday,10-08-2022,00:00:00,26,63,19,,4,63,7,87
Wednesday,10-08-2022,01:00:00,23,50,14,,1,34,8,80
Wednesday,10-08-2022,02:00:00,12,40,12,,,32,,79
Wednesday,10-08-2022,03:00:00,10,36,13,,,35,2,78
Wednesday,10-08-2022,04:00:00,,,,,,,,79
Wednesday,10-08-2022,05:00:00,17,33,15,,2,40,4,77
Wednesday,10-08-2022,06:00:00,13,39,18,,4,54,14,76
Wednesday,10-08-2022,07:00:00,23,62,20,,3,58,8,76
Wednesday,10-08-2022,08:00:00,29,84,21,,3,70,8,76
Wednesday,10-08-2022,09:00:00,32,86,22,,4,70,7,76
Wednesday,10-08-2022,10:00:00,19,86,21,,4,68,5,76
Wednesday,10-08-2022,11:00:00,13,93,26,,5,52,2,77
Wednesday,10-08-2022,12:00:00,30,138,26,,8,64,5,78
Wednesday,10-08-2022,13:00:00,33,137,29,,3,57,6,79
Wednesday,10-08-2022,14:00:00,33,134,30,,3,62,11,80
Wednesday,10-08-2022,15:00:00,21,107,30,,2,82,7,81
Wednesday,10-08-2022,16:00:00,26,95,30,,1,79,8,81
Wednesday,10-08-2022,17:00:00,32,94,31,,1,70,7,82
Wednesday,10-08-2022,18:00:00,30,98,30,,2,72,8,82
Wednesday,10-08-2022,19:00:00,33,101,36,,4,69,3,83
Wednesday,10-08-2022,20:00:00,37,98,46,,3,87,13,83
Wednesday,10-08-2022,21:00:00,37,99,25,,4,78,4,84
Wednesday,10-08-2022,22:00:00,14,49,14,,4,65,8,82
Wednesday,10-08-2022,23:00:00,19,51,15,,5,73,8,81
Thursday,11-08-2022,00:00:00,27,59,11,,5,66,9,81
Thursday,11-08-2022,01:00:00,23,58,21,,4,12,9,82
Thursday,11-08-2022,02:00:00,23,50,18,,4,10,16,82
Thursday,11-08-2022,03:00:00,17,49,16,,4,,3,83
Thursday,11-08-2022,04:00:00,12,40,15,,3,,,81
Thursday,11-08-2022,05:00:00,20,40,23,,4,40,5,81
Thursday,11-08-2022,06:00:00,22,46,21,,4,51,5,81
Thursday,11-08-2022,07:00:00,15,43,28,,4,60,6,81
Thursday,11-08-2022,08:00:00,35,65,24,,5,63,15,80
Thursday,11-08-2022,09:00:00,28,82,22,,2,47,6,80
Thursday,11-08-2022,10:00:00,26,81,22,,,53,6,79
Thursday,11-08-2022,11:00:00,24,86,25,,,28,7,79
Thursday,11-08-2022,12:00:00,20,80,24,,,26,5,77
Thursday,11-08-2022,13:00:00,22,81,26,,1,17,4,74
Thursday,11-08-2022,14:00:00,27,71,28,,2,24,6,72
Thursday,11-08-2022,15:00:00,37,76,25,,2,24,7,70
Thursday,11-08-2022,16:00:00,29,64,29,,1,67,10,69
Thursday,11-08-2022,17:00:00,28,69,30,,2,75,7,68
Thursday,11-08-2022,18:00:00,18,74,38,,3,88,7,67
Thursday,11-08-2022,19:00:00,27,85,24,,1,66,4,66
Thursday,11-08-2022,20:00:00,63,84,21,,3,55,5,66
Thursday,11-08-2022,21:00:00,34,62,30,,4,62,5,64
Thursday,11-08-2022,22:00:00,27,71,19,,5,44,7,65
Thursday,11-08-2022,23:00:00,22,58,12,,3,41,7,66
Friday,12-08-2022,00:00:00,12,53,10,,4,38,8,65
Friday,12-08-2022,01:00:00,19,46,13,,4,29,9,65
Friday,12-08-2022,02:00:00,14,35,15,,4,26,8,64
Friday,12-08-2022,03:00:00,15,42,19,,4,30,9,64
Friday,12-08-2022,04:00:00,25,50,17,,4,28,7,64
Friday,12-08-2022,05:00:00,25,54,15,,2,16,7,65
Friday,12-08-2022,06:00:00,23,46,16,,1,17,6,65
Friday,12-08-2022,07:00:00,13,49,19,,1,29,7,65
Friday,12-08-2022,08:00:00,28,66,21,,1,33,7,65
Friday,12-08-2022,09:00:00,32,71,22,,2,67,19,65
Friday,12-08-2022,10:00:00,28,74,23,,2,78,14,64
Friday,12-08-2022,11:00:00,22,69,25,,4,75,7,64
Friday,12-08-2022,12:00:00,16,66,23,,5,77,7,63
Friday,12-08-2022,13:00:00,18,77,25,,5,62,7,63
Friday,12-08-2022,14:00:00,27,100,28,,4,62,4,64
Friday,12-08-2022,15:00:00,39,108,34,,4,68,4,66
Friday,12-08-2022,16:00:00,56,103,37,,4,68,9,67
Friday,12-08-2022,17:00:00,38,101,33,,2,78,10,71
